cid,url,catalog_year,course_id,title,credits,attempts,department,Description,Prerequisite,Schedule_Type,hours_of_lect_perweek,hours_of_lab_perweek,when_offer,Notes,Grading,Corequisite,status
CHEM212,http://catalog.gmu.edu/previewcourse.php?catoid=29&coid=302347,2016-2017,"CHEM 212","General Chemistry II",3,"Limited to 2 Attempts","Chemistry and Biochemistry","Fundamentals of colligative properties, reaction rates and equilibrium. Topics Include kinetics, properties of solutions, ionic equilibrium, chemical thermodynamics, electrochemistry, and nuclear chemistry.Fulfills Mason Core requirement in natural science (lab).Equivalent to CHEM 202.","Grade of C or higher in CHEM 211 and CHEM 214.",LEC,3,0,"Fall, Spring, Summer","Credit will not be given for this course and CHEM 103, 104. Students majoring in science, engineering, or mathematics should choose this course sequence.","","CHEM 214.",elective
CHEM214,http://catalog.gmu.edu/previewcourse.php?catoid=29&coid=318028,2016-2017,"CHEM 214","General Chemistry Laboratory II",1,"Limited to 2 Attempts","Chemistry and Biochemistry","General Chemistry laboratory course for students majoring in science, engineering, or mathematics. Laboratory experience will demonstrate general chemistry principles and applications.Fulfills Mason Core requirement in natural science (lab).Equivalent to CHEM 204.","Grade of C or better in CHEM 211 , CHEM 212.",LAB,0,3,"Fall, Summer, Spring","Credit will not be given for this course and CHEM 103, CHEM 104. Students majoring in science, engineering, or mathematics should choose this course sequence.","","CHEM 212.",elective
EVPP110,http://catalog.gmu.edu/previewcourse.php?catoid=29&coid=303982,2016-2017,"EVPP 110","The Ecosphere: An Introduction to Environmental Science I",4,"Not Repeatable for Credit","Environmental Science and Policy","Designated a .Fulfills Mason Core requirement in natural science (lab).","","LAB,",3,3,"","One of two semesters of environmental lab science that fulfills Mason Core science requirements for non science majors. Along with EVPP 111, can be taken in any order.","","",elective
EVPP111,http://catalog.gmu.edu/previewcourse.php?catoid=29&coid=303983,2016-2017,"EVPP 111","The Ecosphere: An Introduction to Environmental Science II",4,"Not Repeatable for Credit","Environmental Science and Policy","Designated a .Fulfills Mason Core requirement in natural science (lab).","","LAB,",3,3,"","One of two semesters of environmental lab science that fulfills Mason Core science requirements for non science majors. Along with EVPP 110, can be taken in any order.","","",elective
GEOL101,http://catalog.gmu.edu/previewcourse.php?catoid=29&coid=304230,2016-2017,"GEOL 101","Introductory Geology I",4,"Not Repeatable for Credit","Atmospheric, Oceanic and Earth Sciences","Designated a .Fulfills Mason Core requirement in natural science (lab).","","LAB,",3,3,"","May include field trips.","","",elective
GEOL102,http://catalog.gmu.edu/previewcourse.php?catoid=29&coid=304231,2016-2017,"GEOL 102","Introductory Geology II",4,"Not Repeatable for Credit","Atmospheric, Oceanic and Earth Sciences","Designated a .Fulfills Mason Core requirement in natural science (lab).","GEOL 101","LAB,",3,3,"","May include field trips.","","",elective
PHYS160,http://catalog.gmu.edu/previewcourse.php?catoid=29&coid=305962,2016-2017,"PHYS 160","University Physics I",3,"Not Repeatable for Credit","Physics and Astronomy","First semester of three-semester, calculus-based introductory physics sequence, designed primarily for science and engineering majors. Mechanics.Fulfills Mason Core requirement in natural science (lab).Corequisite(s) enforced by registration system.","","LEC,",3,0,"","","","MATH 114",elective
PHYS161,http://catalog.gmu.edu/previewcourse.php?catoid=29&coid=305963,2016-2017,"PHYS 161","University Physics I Laboratory",1,"Not Repeatable for Credit","Physics and Astronomy","Experiments in mechanics, including techniques for recording, graphically and statistically analyzing, and reporting data.Fulfills Mason Core requirement in natural science (lab).Corequisite(s) enforced by registration system.","",LAB,1,3,"","","","PHYS 160 and MATH 114",elective
PHYS260,http://catalog.gmu.edu/previewcourse.php?catoid=29&coid=305970,2016-2017,"PHYS 260","University Physics II",3,"Not Repeatable for Credit","Physics and Astronomy","Waves, electricity, and magnetism.Fulfills Mason Core requirement in natural science (lab).","PHYS 160 with a grade of C or better.","LEC,",3,0,"","","","MATH 213.",elective
PHYS261,http://catalog.gmu.edu/previewcourse.php?catoid=29&coid=305971,2016-2017,"PHYS 261","University Physics II Laboratory",1,"Not Repeatable for Credit","Physics and Astronomy","Experiments in mechanics, electricity, and magnetism, including techniques for recording, graphically and statistically analyzing, and reporting data.Fulfills Mason Core requirement in natural science (lab).","Minimum grade of C in PHYS 161.",LAB,1,3,"","","","MATH 213 and PHYS 260.",elective
