cid,url,catalog_year,course_id,title,credits,attempts,department,Description,Prerequisite(s),Schedule Type,Hours of Lecture or Seminar per week,Hours of Lab or Studio per week,When Offered,Notes,Grading,Corequisite(s)
CLAS350,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302456,2016-2017,CLAS 350,Greek and Roman Tragedy,3,Not Repeatable for Credit,Modern and Classical Languages,".Follows development of tragedy from its origins to the works of Aeschylus, Sophocles, and Euripides, and its reappearance in the Roman world in the tragedies of Seneca. Considers influence of Greek tragedy on later cultures.Fulfills Mason Core requirement in literature.","ENGL 101/ENGH 101 or equivalent, or permission of instructor.",LEC,3,0,,Course work in English.,,
CLAS360,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302457,2016-2017,CLAS 360,Greek and Roman Comedy,3,Not Repeatable for Credit,Modern and Classical Languages,".Studies forms, contexts, and developments of comedy as a dramatic form in Greco-Roman world. Traces development of New Comedy in Hellenistic age and translation and adaptation of New Comedy by Roman dramatists Plautus and Terence.Fulfills Mason Core requirement in literature.","ENGL 101/ENGH 101 or equivalent, or permission of instructor.",LEC,3,0,,Course work in English.,,
CLAS370,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302458,2016-2017,CLAS 370,Greek and Roman Historians,3,Not Repeatable for Credit,Modern and Classical Languages,".Examines writings of major Greek and Roman historians, including Herodotus, Thucydides, Sallust, Livy, and Tacitus; their interpretations of the past; and their influence.","ENGL 101/ENGH 101 or equivalent, or permission of instructor.",LEC,3,0,,Course work in English.,,
CLAS380,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302459,2016-2017,CLAS 380,Greek and Roman Novels,3,Not Repeatable for Credit,Modern and Classical Languages,".Examines novels written in antiquity, and influences on postclassical and modern literature. Emphasizes works of Longus, Heliodorus, Petronius, and Apuleius.Fulfills Mason Core requirement in literature.","ENGL 101/ENGH 101 or equivalent, or permission of instructor.",LEC,3,0,,Course work in English.,,
CLAS390,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302460,2016-2017,CLAS 390,Topics in Classical Literature and Culture,3,Repeatable within Degree for Credit,Modern and Classical Languages,".Studies forms, contexts, and developments of distinctive literary genre or cultural phenomenon in the Greco-Roman world.",ENGL 101/ENGH 101 (or equivalent) or permission of instructor.,LEC,3,0,,May be repeated for credit when topic is different.,,
CLAS499,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302461,2016-2017,CLAS 499,Senior Seminar in Classical Studies,3,Not Repeatable for Credit,Modern and Classical Languages,.Individual research on specialized topic culminating in seminar paper. Fulfills writing-intensive requirement. Subject of seminar determined by instructor in consultation with student.,"Classical studies minors, 90 credits including 15 credits in classics, and permission of instructor.",SEM,3,0,,Permission must be obtained in advance. Students may present no more than 3 credits for graduation.,,
CLIM101,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302462,2016-2017,CLIM 101,"Global Warming: Weather, Climate, and Society",3,Not Repeatable for Credit,"Atmospheric, Oceanic and Earth Sciences",Designated a .Fulfills Mason Core requirement in natural science (nonlab).,,LEC,3,0,,,,
CLIM102,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=307948,2016-2017,CLIM 102,Introduction to Global Climate Change Science,4,Not Repeatable for Credit,"Offered by Atmospheric, Oceanic and Earth Sciences","The scientific basis of computer models that simulate past and present climate and predict future climate change; How complex models are built, tested, and interpreted to better understand physical, chemical, and biological processes; how uncertainty is managed. Students conduct laboratory experiments through an online interface and apply results to policy and planning.ÊDesignated a .Fulfills Mason Core requirement in natural science (lab).","Basic math skills (Geometry, Algebra).","LAB,LEC",3,3,,Computer models are used in the lab.,,
CLIM111,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302463,2016-2017,CLIM 111,Introduction to the Fundamentals of Atmospheric Science,3,Not Repeatable for Credit,"Atmospheric, Oceanic and Earth Sciences",Designated a .Fulfills Mason Core requirement in natural science (lab).Equivalent to PHYS 111,,LEC,3,0,,,,
CLIM112,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302464,2016-2017,CLIM 112,Introduction to the Fundamentals of Atmospheric Science Lab,1,Not Repeatable for Credit,"Atmospheric, Oceanic and Earth Sciences",Designated a .Fulfills Mason Core requirement in natural science (lab).Equivalent to PHYS 112,,LAB,1,1,,,,CLIM 111
CLIM301,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302465,2016-2017,CLIM 301,Weather Analysis and Prediction,4,Not Repeatable for Credit,"Atmospheric, Oceanic and Earth Sciences","ÊLarge-scale behavior of mid-latitude weather systems. Includes coupling of synoptic motion to mesoscale processes that lead to significant weather events. Introduces the observational network, numerical weather models, and prediction. Laboratory portion gives practical experience in weather analysis, prediction, and technology currently used for visualization and analysis.",MATH 113 or equivalent; one of CLIM/PHYS 111/112 or EOS 121 or GGS 121.,"LAB,",3,1,,,,
CLIM312,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=308480,2016-2017,CLIM 312,Physical Climatology,3,Not Repeatable for Credit,"Atmospheric, Oceanic and Earth Sciences","ÊQuantitative description of nature and theory of the climate system, dynamics of atmosphere-ocean-land surface, internal interactions and response to external forcing, description of the climate record and simple climate models.Equivalent to GGS 312.","CLIM/PHYS 111/112 OR GGS 121; and PHYS 243,244, or permission of instructor.",LEC,3,0,Spring,,,
CLIM314,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302466,2016-2017,CLIM 314,Severe and Extreme Weather,3,Not Repeatable for Credit,"Atmospheric, Oceanic and Earth Sciences",Designated a .Equivalent to GGS 314,MATH 113 or equivalent; CLIM/PHYS 111/112 or GGS 121.,LEC,3,0,,,,
CLIM319,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=307949,2016-2017,CLIM 319,Air Pollution,3,Not Repeatable for Credit,"Atmospheric, Oceanic and Earth Sciences",Designated a .,CLIM 111 or GGS 121.,LEC,3,0,Fall,,,
CLIM390,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302467,2016-2017,CLIM 390,Topics in Climate Research,4-Jan,Repeatable within Degree for Credit,"Atmospheric, Oceanic and Earth Sciences",ÊSelected topics not covered in fixed content courses. May be included for credit by AOES majors in the 45 credits of courses required for BS degree.,15 credits of AOES courses within concentration.,IND,1,1,,,,
CLIM408,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302468,2016-2017,CLIM 408,Senior Research,3,Repeatable within Degree for Credit,"Atmospheric, Oceanic and Earth Sciences","ÊIndependent research under guidance of faculty member on a research project in numerical, experimental, observational, or theoretical atmospheric or climate-related research. A written report on the project is required.",15 credits of AOES courses within major.,IND,3,0,,May be taken twice with department permission.,,
CLIM409,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302469,2016-2017,CLIM 409,Research Internship,3,Repeatable within Degree for Credit,"Atmospheric, Oceanic and Earth Sciences","ÊOn-the-job experience for AOES majors in industry or government laboratories, including summer research programs. Students work in observational, experimental, or theoretical research, and prepare a written report at the end of the internship.",75 credits. 15 credits of courses in major and permission of department. See department for requirements and application procedure prior to enrollment.,IND,3,0,,May be taken twice with department permission.,,
CLIM411,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302470,2016-2017,CLIM 411,Atmospheric Dynamics,3,Not Repeatable for Credit,"Atmospheric, Oceanic and Earth Sciences","ÊObservational bases and fundamentals of fluid dynamic principle for understanding atmospheric motions across multiple spatial and temporal scales; covers basic conservation laws of mass, momentum, and energy; concepts of circulation and vorticity; balanced atmospheric flows, e.g. geostrophic wind and shear, thermal wind; quasi-geostrophic and isentropic potential vorticity analysis for mid-latitude cyclones and fronts.Equivalent to CLIM 311 (2013-2014 Catalog).","CLIM 111 and MATH 213, or permission of instructor.",LEC,3,0,Fall,,,
CLIM412,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302471,2016-2017,CLIM 412,Physical Oceanography,3,Not Repeatable for Credit,"Atmospheric, Oceanic and Earth Sciences",Designated a .Equivalent to GEOL 412.,"MATH 113 or MATH 115, and PHYS 160 or PHYS 243, or permission of instructor",LEC,3,0,,,,
CLIM429,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=308569,2016-2017,CLIM 429,Atmospheric Thermodynamics,3,Not Repeatable for Credit,"Atmospheric, Oceanic and Earth Sciences","ÊThermodynamics of the atmosphere, properties of dry and moist air, air parcel as a thermodynamic system, atmospheric stability and convection, cloud formation and stability indices.","CLIM 111, MATH 114 and PHYS 260; or permission of Instructor.",LEC,3,0,Fall,,,
CLIM438,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302472,2016-2017,CLIM 438,Atmospheric Chemistry,3,Not Repeatable for Credit,"Atmospheric, Oceanic and Earth Sciences","ÊReviews fundamental chemical processes of the Earth's atmosphere including chemical cycles, thermodynamics, reaction kinetics, photochemistry, radiative balance, ozone chemistry and environmental issues, including air pollution, acid rain and global change. Includes some review of extraterrestrial atmospheric chemistry.Equivalent to CHEM 438",CHEM 331 and 332 or permission of instructor.,LEC,3,0,,,,
CLIM440,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=308570,2016-2017,CLIM 440,Climate Dynamics,3,Not Repeatable for Credit,"Atmospheric, Oceanic and Earth Sciences","ÊStructure, dynamics and thermodynamics of atmospheric and oceanic circulations that maintain the climate. Role of the large scale transport of energy, moisture and angular momentum. Relationships of large scale circulation to weather and weather extremes, and implications for past and future climates.","MATH 213, MATH 214, and CLIM 411.",LEC,3,0,Spring,,,
CLIM470,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=308571,2016-2017,CLIM 470,Numerical Weather Prediction,3,Not Repeatable for Credit,"Atmospheric, Oceanic and Earth Sciences","ÊConcepts and techniques of numerical prediction of weather, including the numerical models used and the rationale for large suites of meteorological forecasts. Sources of errors in the forecast: errors in the initial conditions and in the numerical weather prediction models. Interpretation of model output.","MATH 213, MATH 214, and CLIM 411.",LEC,3,0,Spring,,,
CLIM512,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=308956,2016-2017,CLIM 512,Physical Oceanography,3,Not Repeatable for Credit,"Atmospheric, Oceanic and Earth Sciences","ÊCourse describes the global patterns of temperature, salinity, currents and waves in the world's oceans, and how these patterns influence marine biota, climate, and human activity. Course introduces key concepts which explain physical feature of the ocean ranging from microscopic turbulence to global circulation.","MATH 113 or MATH 115; PHYS 160 or PHYS 243, or permission of instructor.",LEC,3,,Fall,,,
CLIM690,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302473,2016-2017,CLIM 690,Scientific Basis of Climate Change,3,Not Repeatable for Credit,"Atmospheric, Oceanic and Earth Sciences","ÊA rigorous treatment of global warming, especially with regard to anthropogenic causes, based on the IPCC 4th Assessment Report ""The Physical Science Basis"". Topics include 1) Overview of observed climate, 2) Variability of climate, 3) Modeling of climate response to green house gas forcing, 4) Green house gases, chemistry, and aerosols, and 5) Projections of climate change and its societal impact.","BS or MS in a natural science or engineering, or permission of instructor.",LEC,3,0,,,,
CLIM700,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=318041,2016-2017,CLIM 700,Climate Comprehensive Exam,1,Repeatable within Degree for Credit,"Atmospheric, Oceanic and Earth Sciences","ÊPreparation for and completion of written comprehensive exam, on a climate-related subject, within AOES department. The exam is part of the degree requirements in lieu of writing a master's thesis. Instructor should be the chair of the examination committee. The exam committee will specify exam content.","At least 15 graduate credits, approved project proposal, and permission of major advisor or chair of the examination committee.",IND,1,0,"Fall, Summer, Spring",,Satisfactory/No Credit,
CLIM710,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302474,2016-2017,CLIM 710,Introduction to Physical Climate System,3,Not Repeatable for Credit,"Atmospheric, Oceanic and Earth Sciences","ÊProvides modern understanding of ocean, atmosphere, and land based on fundamental physical laws. Describes current climate and physical processes by which climate is maintained. Covers theoretical models of general circulation of atmosphere, including time mean and transient behavior. Describes basics of ocean circulation and interactions between ocean and atmosphere. Reviews past climate change, stratosphere and its interactions with troposphere, and role of land processes in modulating climate.","BS or MS in mathematics or a physical science, or permission of instructor.",LEC,3,0,,,,
CLIM711,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302475,2016-2017,CLIM 711,Introduction to Atmospheric Dynamics,3,Not Repeatable for Credit,"Atmospheric, Oceanic and Earth Sciences","ÊCovers basic conservation laws of mass, momentum, and energy and scaling analysis of equation of motion and thermodynamic equation. Discusses balanced flows in atmosphere, such as geostrophic wind and its vertical shear, and thermal wind relationship. Also explores circulation and vorticity; role of atmospheric boundary layer in mass, momentum, and energy transfer; synoptic scale motions; and role of gravity and Rossby waves in controlling general circulation of atmosphere.Equivalent to PHYS 676","BS or MS in mathematics or a physical science, or permission of instructor.",LEC,3,0,,,,
CLIM712,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302476,2016-2017,CLIM 712,Physical and Dynamical Oceanography,3,Not Repeatable for Credit,"Atmospheric, Oceanic and Earth Sciences","ÊIntroduces climatology and dynamics of oceans. Covers nature of seawater, heat, and salt budgets; general circulation of the ocean, including the Gulf Stream and thermohaline circulations; dynamics of wind-driven ocean circulation; and processes influencing biological and chemical behavior.",CSI 751 or CLIM 710  or permission of instructor.,LEC,3,0,,,,
CLIM713,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302477,2016-2017,CLIM 713,Atmosphere-Ocean Interactions,3,Not Repeatable for Credit,"Atmospheric, Oceanic and Earth Sciences",ÊProvides comprehensive observational and mechanistic understanding of El NiÌ±o and Southern Oscillation (ENSO) phenomena. Topics include observations and theories of seasonal and interannual changes in ocean circulation and temperature and interactions with atmosphere; equations of motion and theories of wind-driven circulation; mixed layer observations and theories; midlatitude and equatorial ocean waves; interannual variability and atmosphere-ocean coupling; and tropical oceanography and meteorology.,"CLIM 712 or 711 or equivalent, or permission of instructor.",LEC,3,0,,,,
CLIM714,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302478,2016-2017,CLIM 714,Land-Climate Interactions,3,Not Repeatable for Credit,"Atmospheric, Oceanic and Earth Sciences","ÊInterdisciplinary course providing detailed description of surface energy and water balance over land and radiative and turbulent transfer. Introduces numerical techniques for modeling land surface and applications in weather, climate, and hydrologic forecasting and simulation. Includes hands-on experience with land surface models in computer laboratory, including sensitivity experiments to reinforce theoretical concepts. Exposure to contemporary research through reading and reviewing seminal journal papers.","BS or MS in mathematics or physical science, or permission of instructor.",LEC,3,0,,,,
CLIM715,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302479,2016-2017,CLIM 715,Numerical Methods for Climate Modeling,3,Not Repeatable for Credit,"Atmospheric, Oceanic and Earth Sciences","ÊFoundation and theory of computational methods for atmosphere and ocean modeling, with special emphasis on finite-difference and spectral methods. Topics include accuracy, consistency, convergence and stability; time stepping schemes; nonlinear computational stability; energy and enstrophy conserving schemes for momentum equations; staggered and curvilinear grids; alternate vertical coordinate systems; implicit and split-explicit barotropic mode solution; pressure gradient errors and vorticity constraints; spectral methods for atmospheric models; and treatment of model physics.","CLIM 712 or 711 or equivalent, or permission of instructor.",LEC,3,0,,,,
CLIM750,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302480,2016-2017,CLIM 750,Geophysical Fluid Dynamics,3,Not Repeatable for Credit,"Atmospheric, Oceanic and Earth Sciences","ÊIntroduces geophysical fluid dynamics, the study of rotating stratified flows. Covers hydrostatics; equations of motion, gravity wave dynamics, and stratified flow; effects of rotation, midlatitude dynamics, Rossby number and quasigeostrophic expansion; beta plane approximation; and equatorial Kelvin and Rossby waves.","CLIM 711, or permission of instructor.",LEC,3,0,,,,
CLIM751,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302481,2016-2017,CLIM 751,Predictability and Prediction of Weather and Climate,3,Not Repeatable for Credit,"Atmospheric, Oceanic and Earth Sciences","ÊCovers predictability and seamless prediction of weather and climate for timescales ranging from days to decades. Studies limitations to predictability due to chaos, and possible sources of predictability due to slowly varying surface boundary conditions produced by interactions among atmospheres, ocean and land system. Discusses predictability of droughts and floods, monsoons, ENSO, decadal variations and climate change.Ê","CLIM 711 or equivalent, or permission of instructor.",LEC,3,0,,,,
CLIM752,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302482,2016-2017,CLIM 752,Ocean General Circulation,3,Not Repeatable for Credit,"Atmospheric, Oceanic and Earth Sciences","ÊDescription and theory of large-scale ocean circulation and how it affects climate. Focus is on ubiquitous flow structures such as gyres, equatorial currents, and meridional overturning cells. Examines how the circulation follows from wind and thermohaline forcing, as well as physical principles. The influence of the circulation on heat transport and climate variability is also discussed. Conceptual guideposts include barotropic gyres, Ekman cells, potential vorticity, western intensification, the interplay of gravity and the Earth's rotation, advective-diffusive balance, multiple flow states, and Rossby waves.","CLIM 712 or 711 or equivalent, or permission of instructor.",LEC,3,0,,,,
CLIM753,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302483,2016-2017,CLIM 753,General Circulation of the Atmosphere,3,Not Repeatable for Credit,"Atmospheric, Oceanic and Earth Sciences","ÊOverview and several theoretical perspectives of atmospheric transport of energy, moisture, and angular momentum, and how these processes fundamentally affect the climate on various time scales.",CLIM 710 and 711.,LEC,3,0,,,,
CLIM754,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=307903,2016-2017,CLIM 754,Elements of the Tropical Climate System,3,Not Repeatable for Credit,"Atmospheric, Oceanic and Earth Sciences","ÊObservations and dynamics of key processes of tropical weather and climate. Topics include: structure of the tropical atmosphere and ocean, convection, dynamics of tropical waves in the atmosphere and ocean, tropical intraseasonal variability, tropical the global monsoons, cyclones, and stratospheric quasi-biennial oscillation.",CLIM 711.,LEC,3,0,Spring,,,CLIM 710.
CLIM759,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302484,2016-2017,CLIM 759,Topics in Climate Dynamics,3,Repeatable within Term for Credit,"Atmospheric, Oceanic and Earth Sciences",ÊCovers selected topics in climate dynamics not covered in fixed-content courses.,Permission of instructor.,LEC,3,0,,May be repeated for credit when offered with different content.,,
CLIM762,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302485,2016-2017,CLIM 762,Statistical Methods in Climate Research,3,Not Repeatable for Credit,"Atmospheric, Oceanic and Earth Sciences","ÊIntroduction to a core set of statistical methods that have proven useful to modern climate and predictability research.  Topics include detecting and attributing climate change, describing climate variability with empirical orthogonal functions, statistical forecasting with regression and time series models, and identifying coupled patterns of variability with canonical correlation analysis.","Undergraduate-level linear algebra and STAT 344 (or equivalent), or permission of instructor.",LEC,3,0,,,,
CLIM763,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=307668,2016-2017,CLIM 763,Advanced Statistical Methods in Climate Research,3,Not Repeatable for Credit,"Atmospheric, Oceanic and Earth Sciences","ÊIntroduction to multivariate statistical techniques commonly used in climate science, with special emphasis on estimation in large dimensional spaces. Topics include: multivariate regression, canonical correlation analysis, predictable component analysis, field significance tests, data assimilation (especially the ensemble Kalman Filter), discriminant analysis, and multivariate detection and attribution of climate change.",CLIM 762 or permission of instructor.,LEC,3,0,Spring,,,
CLIM796,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302486,2016-2017,CLIM 796,Directed Reading and Research,6-Jan,Repeatable within Term for Credit,"Atmospheric, Oceanic and Earth Sciences",ÊReading and research on a specific topic in climate dynamics under the direction of a faculty member.,Admission into climate dynamics doctoral program and permission of instructor.,IND,1,0,,May be repeated as necessary.,,
CLIM798,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=318040,2016-2017,CLIM 798,Master's Climate Research Project,6-Jan,Repeatable within Degree for Credit,"Atmospheric, Oceanic and Earth Sciences",ÊResearch or literature-review project in climate science or related topic chosen and completed under the guidance of a faculty member. Proposal required before enrollment. Technical report acceptable to student's project committee required for completion.,"At least 15 graduate credits, approved project proposal, and permission of major advisor or chair of the examination committee.",IND,1,0,"Fall, Summer, Spring",,Satisfactory/No Credit,
CLIM799,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=318042,2016-2017,CLIM 799,Master's Thesis in Climate,6-Jan,Repeatable within Degree for Credit,"Atmospheric, Oceanic and Earth Sciences",ÊResearch project in climate science or related topic chosen and completed under the supervision of a faculty member. Resulting thesis acceptable to student's committee and potentially publishable is required for completion.,"Degree candidacy, thesis proposal approved by thesis committee, and permission of major advisor or instructor.",IND,1,0,"Fall, Summer, Spring",,Satisfactory/No Credit,
CLIM991,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302487,2016-2017,CLIM 991,Climate Dynamics Seminar,1,Repeatable within Degree for Credit,"Atmospheric, Oceanic and Earth Sciences",ÊPresentations in climate dynamics field by Mason faculty and invited speakers.,Graduate standing.,SEM,1,0,,"May be repeated for credit; however, a maximum of 3 credits may be applied toward the climate dynamics PhD.",,
CLIM996,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302488,2016-2017,CLIM 996,Doctoral Reading and Research,6-Jan,Repeatable within Term for Credit,"Atmospheric, Oceanic and Earth Sciences",ÊReading and research on a specific topic in climate dynamics under the direction of a faculty member.,Admission into climate dynamics doctoral program and permission of instructor.,IND,1,0,,May be repeated as necessary.,Graduate Special,
CLIM998,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302489,2016-2017,CLIM 998,Doctoral Dissertation Proposal,12-Jan,Repeatable within Degree for Credit,"Atmospheric, Oceanic and Earth Sciences",ÊCovers development of research proposal under guidance of dissertation director and doctoral committee. Proposal forms basis for climate dynamics doctoral dissertation.,Doctoral standing and permission of instructor.,IND,0,0,,"Course may be repeated, but no more than 12 credits of CLIM 998 may be applied to doctoral degree requirements.",Satisfactory/No credit only,
CLIM999,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302490,2016-2017,CLIM 999,Doctoral Dissertation,12-Jan,Repeatable within Degree for Credit,"Atmospheric, Oceanic and Earth Sciences",ÊDoctoral dissertation research under direction of dissertation director.,Admission to doctoral candidacy and permission of instructor.,IND,0,0,,"May be repeated, but no more than 24 credits total in CLIM 998 and 999 may be applied to doctoral degree requirements.",Satisfactory/No credit only,
COMM100,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302491,2016-2017,COMM 100,Public Speaking,3,Not Repeatable for Credit,Communication,"ÊPresents principles to develop effective presentations for public and professional settings while integrating appropriate technologies. Emphasizes analyzing audience; composing meaningful, coherent messages; conducting responsible research; developing effective arguments; and improving delivery skills to strengthen confidence and credibility.Fulfills Mason Core requirement in oral communication.",,LEC,3,0,,,,
COMM101,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302492,2016-2017,COMM 101,Interpersonal and Group Interaction,3,Not Repeatable for Credit,Communication,ÊPresents principles to develop appropriate and effective communication strategies in one-to-one and small group communication settings. Emphasizes analyzing and assessing communication skills to create and sustain effective communication in personal and professional relationships.Fulfills Mason Core requirement in oral communication.,,LEC,3,0,,,,
COMM140,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302493,2016-2017,COMM 140,Forensics Seminar in Creative Arts,1,Repeatable within Term for Credit,Communication,"ÊIntensive work in creative forensics events, including rhetorical criticism and informative, persuasive, extemporaneous, after-dinner, and impromptu speaking.",Audition.,SEM,3,6,,May be taken four times.,,
COMM141,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302494,2016-2017,COMM 141,Forensics Seminar in Recreative Arts,1,Repeatable within Term for Credit,Communication,"ÊIntensive work in recreative forensic events, including dramatic duo, program interpretation, poetry interpretation, dramatic interpretation, and prose interpretation.",Audition.,SEM,3,6,,May be taken four times.,,
COMM142,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302495,2016-2017,COMM 142,Forensics Seminar in Debate: Affirmative Strategies,1,Repeatable within Term for Credit,Communication,"ÊWork in affirmative research, case construction, and oral presentation; directed toward affirmative analysis of intercollegiate debate proposition.",,SEM,1,6,,May be taken four times.,,
COMM143,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302496,2016-2017,COMM 143,Forensics Seminar in Debate: Negative Strategies,1,Repeatable within Term for Credit,Communication,"ÊWork in negative research, case attacks, and oral presentation directed toward negative analysis of intercollegiate debate proposition.",,SEM,0,6,,May be taken four times.,,
COMM145,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302497,2016-2017,COMM 145,Newspaper Workshop I,1,Repeatable within Term for Credit,Communication,"ÊPractical experience in writing, editing, or business aspects of newspaper production at  or other papers. Coordinated by newspaper faculty advisor.",,"LAB,",1,2,,May be repeated for total 3 credits.,,
COMM148,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302498,2016-2017,COMM 148,Radio Workshop I,1,Repeatable within Degree for Credit,Communication,ÊStudents receive individual guidance while learning to be on-air show hosts at student internet radio station WGMU. New technologies such as computer automation systems and advanced production software are integrated throughout the curriculum to prepare students to engage in the most current applications for commercial and internet radio and podcasting.,"100-level COMM course, or permission of instructor.",STU,1,3,,May be taken three times.,,
COMM150,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302499,2016-2017,COMM 150,Communication Skills for International Students,3,Not Repeatable for Credit,Communication,"ÊIntroduction to speaking, listening, and nonverbal skills required to communicate appropriately in university study.","International student in first year of study in the United States, non-native speakers of English with some difficulty speaking clearly and accurately, or permission of instructor.",LEC,3,0,,,,
COMM157,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302500,2016-2017,COMM 157,Digital Media Workshop,1,Repeatable within Degree for Credit,Communication,"ÊOffers students a hands-on introduction to digital tools of creative expression, involving the use of specific software and hardware, including operating systems, media editing programs, authoring applications, and software utilities.",,"LAB, SEM",1,2,,Students who have already completed or are in COMM 208 are not eligible to take this course. May be taken three times.,,
COMM200,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302501,2016-2017,COMM 200,Communication Theory,3,Not Repeatable for Credit,Communication,"ÊIntroduces the field of communication, including perspectives on theory and research, topical areas within the discipline, basic research methodologies, and a survey of theories in those areas. Covers basic procedures for theory-building, research, and writing about communication.","COMM 100 or 101 and declared major or minor in communication, undeclared major, or permission of undergraduate program director.",LEC,3,0,,,,
COMM201,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302502,2016-2017,COMM 201,Small Group Communication,3,Not Repeatable for Credit,Communication,ÊPrinciples of communicating effectively in small group situations. Emphasizes problem-solving group communication. Practice in working cooperatively with others to complete projects using systematic approach to problem solving.,COMM 101 or equivalent course.,LEC,3,0,,,,
COMM202,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302503,2016-2017,COMM 202,Media and Society,3,Not Repeatable for Credit,Communication,No data,,LEC,3,0,,,,
COMM203,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302504,2016-2017,COMM 203,Introduction to Journalism,3,Not Repeatable for Credit,Communication,"Ê""ÊAmerican journalism including history and First Amendment components; role of professional journalist; print, broadcast, and computer assisted news operations; economics of publishing; and effect of new technologies. Serves as starting point for those interested in journalism careers and as orientation for those interested in learning more about news business operations.",,LEC,3,0,,,,
COMM204,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=308885,2016-2017,COMM 204,Introduction to Public Relations,3,Not Repeatable for Credit,Communication,"ÊIntroduces the evolving field of public relations and the role it plays in global business, politics and social interactions. Focuses on creation of integrated digital communication and social media engagement. This is a required course for the Communication Department Public Relations concentration and a prerequisite for several upper-level public relations courses.",,LEC,3,,,,,
COMM208,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=318152,2016-2017,COMM 208,Introduction to Media Production,3,Not Repeatable for Credit,Communication,"ÊProvides a general introduction to media production with emphasis on the basics of multimedia tools for camera, audio, lighting, and editing, focusing on non-fiction, journalism, or public relations/advocacy presentations.Equivalent to COMM 355 (2015-2016 catalog)",,LEC,3,0,,,,
COMM210,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302505,2016-2017,COMM 210,Voice and Articulation,3,Not Repeatable for Credit,Communication,"ÊPrinciples of voice production, with practice in effective vocal use of American English. Emphasizes student participation.",,LEC,3,0,,,,
